,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_3,label3_2,label3_1
184,002601,龙蟒佰利,0.08,0.29,4.63,58519.68,24.89,39.7749,2350.2852,1.1565,2.5478,35.3246,1.0779,83.4957,0.4759,189.1154,273.8921,3002.9102,445.2777,213.4115,222.2222,441.7908,1.2453,0.9288,32.5707,2524.8527,70.3406,29.6594,0.0243,0.003,0.0944,0.0102,1.3458,0,0,-1
185,002625,光启技术,0.05,0.02,0.34,1777.53,16.63,35.4549,106.8369,0.0842,0.7899,113.9385,2.2744,39.5709,0.0292,3082.1918,10.0191,105.5521,1285.0829,960.2869999999999,-33.3333,1285.0829,64.0714,63.8303,5273.3864,-182.2743,98.4144,1.5856,0.22699999999999998,0.0032,1.3645,0.2018,21.9404,0,0,0
188,002773,康弘药业,0.05,0.23,5.09,15159.68,23.61,90.0724,642.0394,0.9512,4.725,19.0476,0.4415,203.8505,0.2151,418.41,22.6197,47.8215,16.21,25.0286,-0.9174,17.2671,5.8857,5.6163,417.8872,-2904.633,76.9698,23.0302,0.109,0.0176,0.4615,0.0762,13.3132,0,0,-1
189,300017,网宿科技,0.12,0.25,2.65,19644.3,16.71,35.6884,1175.0589,1.4659,1.0925,82.3799,3.5155,25.6009,0.1761,511.0733,20.5995,-18.837,20.0931,26.1844,-28.2074,19.5814,4.9285,4.7896,257.4886,-1446.4457,82.6557,17.3443,-0.0186,-0.0024,-0.1115,-0.0137,-1.6966,1,1,1
191,300059,东方财富,0.47,0.02,0.78,10052.43,42.19,57.4585,238.2643,0.0669,0.7855,114.5767,0.7427,121.1795,0.0099,9090.9091,-31.879,-14.3836,55.8484,39.1093,-33.0484,55.9171,1.4267,1.4192,59.4649,-1841.7773,40.8342,59.1658,0.4687,0.0035,1.1162,0.006,0.6057,0,1,1
192,300070,碧水源,0.16,0.07,1.47,23029.92,20.57,25.5381,1119.4479,0.3572,0.263,342.2053,1.5501,58.0608,0.0694,1296.83,77.5191,851.2233,18.9671,82.5281,133.3333,15.0556,1.2888,1.2395,70.6243,627.7079,50.6319,49.3681,-1.5289,-0.0517,-7.6770000000000005,-0.1048,-13.0867,0,1,1
193,300072,三聚环保,0.12,0.37,6.72,43671.57,7.9,15.6173,5521.8074,4.6184,0.8151,110.4159,5.347,16.8319,0.3279,274.4739,218.2006,131.9131,40.3098,67.9945,42.3077,39.5208,1.9003,1.7922,61.8642,446.2069,36.5556,63.4444,-0.16,-0.0455,-1.9861,-0.0717,-9.6973,1,1,1
194,300124,汇川技术,0.21,0.11,3.58,17245.17,22.05,46.5688,781.8836,0.4695,0.7845,114.7228,0.5135,175.2678,0.1211,743.1874,37.7286,24.6325,18.1924,35.7067,-38.8889,17.2794,2.3701,2.0518,55.1284,-1882.9984,64.5823,35.4177,0.0058,0.0006,0.0257,0.0016,0.1658,0,0,-1
195,300136,信维通信,0.18,0.22,9.25,20425.66,28.43,29.6922,718.3366,0.7324,0.6777,132.8021,2.4530000000000003,36.6898,0.3291,273.4731,102.0973,180.197,45.7447,66.9589,76.1671,45.744,1.9593,1.7924,81.8936,3643.6862,62.0351,37.9649,0.3535,0.073,1.258,0.1924,21.473000000000003,0,-1,-1
197,300296,利亚德,0.13,0.21,3.8,17246.92,15.29,40.1716,1127.9704,1.3849,0.6381,141.0437,0.3101,290.22900000000004,0.1936,464.876,39.6903,114.4744,88.4326,103.3882,90.9091,90.5839,1.3623,0.8662,39.295,1364.4403,43.2185,56.7815,-0.1223,-0.0127,-0.7987,-0.0224,-2.8803,1,1,1
198,300408,三环集团,0.19,0.14,4.44,23231.9,34.32,47.0263,676.817,0.3916,0.7975,112.8527,0.8708,103.3532,0.1443,623.7006,1.5028,3.3289999999999997,18.4454,21.8011,7.6923,18.55,11.3445,10.3632,236.045,4683.7425,84.2792,15.7208,0.6393,0.0678,1.8605,0.4311,101.8556,0,0,0
199,300433,蓝思科技,0.06,0.1,1.56,22057.98,5.36,24.9153,4108.4467,1.8832,1.2518,71.8965,1.6034,56.1307,0.4557,197.4984,53.5413,33.201,34.8975,37.8052,-58.7515,34.2535,0.8688,0.6977,33.2359,1366.7526,52.7082,47.2918,0.2618,0.0396,4.8824,0.0838,9.7415,1,1,1
