,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
62,600703,三安光电,0.3,0.37,8.33,151481.79,37.25,48.2605,4066.6157,0.9971,1.9249,93.5114,1.8164,99.0971,0.3629,496.0044,46.3672,56.7552,7.8032,4.3141,-2.6316,7.7834,5.0612,4.5213,238.7242,7840.2062,75.2911,24.7089,0.3239,0.0546,0.8694,0.2209,61.91,-1,-1,0
63,600705,中航资本,0.2,0.14,5.73,127557.12,50.27,53.1974,2537.0405,0.2826,15.2018,11.8407,53.3163,3.3761,0.0305,5901.6393,38.1822,9.8841,8.4264,20.0615,7.6923,8.3474,0.8658,0.8655,75.2893,2947.441,17.3608,82.6392,-12.2929,-0.2029,-19.214000000000002,-0.2455,-35.9519,0,0,0
64,600739,辽宁成大,0.14,0.57,4.56,86786.45,13.56,15.0413,6396.4259999999995,4.1814,4.3587,41.2967,4.0801,44.1166,1.1236,160.1994,68.1357,17.1408,6.9555,0.2627,19.8859,8.4311,0.5033,0.3999,11.7199,450.9805,61.3952,38.6048,-0.0072,-0.0014,-0.0539,-0.0035,-0.4077,0,0,0
65,600741,华域汽车,0.31,1.03,8.22,323281.8,4.72,14.2218,68394.0009,21.6936,3.1643,56.8846,8.3156,21.6461,0.9764,184.3507,11.5002,5.6188,9.6581,15.8577,5.4527,8.76,1.2603,1.1423,52.5509,-10759.4383,40.0638,59.9362,0.0508,0.0304,0.758,0.0508,6.0582,-1,0,0
67,600809,山西汾酒,0.1,0.69,12.98,60168.37,17.58,71.0765,3421.0216,3.951,74.2554,2.4241,0.5067,355.2398,0.6607,272.4383,41.1785,70.6918,8.8814,16.3753,67.6478,8.4292,1.7133,1.1021,34.6015,-40826.0615,60.3997,39.6003,0.05,0.0208,0.2666,0.0525,5.2638,-1,-1,-1
68,600867,通化东宝,0.21,0.24,9.9,41039.07,34.73,75.1019,1181.5701,0.6924,2.4771,72.6656,0.2874,626.3048,0.5231,344.1025,32.6921,30.5314,59.8931,20.515,4.3478,60.0933,3.8609,2.189,67.1626,5288.3352,85.5458,14.4542,0.3901,0.0968,1.1234,0.67,77.0955,-1,0,0
69,600887,伊利股份,1.48,0.55,14.3,336411.11,10.1,38.1918,33301.7663,5.4781,42.5268,4.2326,4.78,37.6569,1.4422,124.8093,11.2821,4.5206,11.3124,28.078000000000003,3.7736,11.5225,1.23,1.0271,88.2193,14467.991000000002,51.6007,48.3993,0.085,0.0637,0.84,0.1317,13.3893,-1,-1,0
71,600998,九州通,0.09,0.49,6.53,79298.68,2.18,8.097999999999999,36228.439,21.3654,3.0611,58.8024,3.2208,55.8867,1.0404,173.0104,21.6294,155.256,26.331999999999997,21.1822,157.8947,21.9616,1.2981,0.9336,17.8676,389.8104,31.8653,68.1347,-0.102,-0.0826,-4.6071,-0.1213,-12.7937,0,0,0
73,601006,大秦铁路,0.52,0.51,8.2,762258.76,27.86,32.3662,27356.5682,1.8401,5.2989,33.9693,10.9119,16.4958,1.3297,135.3689,28.8872,107.3693,8.9604,-0.8186,104.0,8.8472,1.2236,1.1093,58.8933,3869.6628,78.6631,21.3369,0.2788,0.0629,1.0101,0.2947,49.0211,0,0,0
75,601012,隆基股份,0.36,0.62,11.57,123616.07,19.69,35.113,6276.2099,3.1445,2.2568,79.759,2.9347,61.3351,0.4719,381.4367,-2.2973,41.4665,72.8053,111.31,26.5306,73.4733,1.2334,1.101,56.0691,1674.6877,41.8113,58.1887,0.0182,0.0043,0.0927,0.0073,0.9654,-1,-1,-1
