,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_3,label3_2,label3_1
175,002202,金风科技,0.25,0.63,11.43,229616.54,13.5,30.1813,17006.7514,4.7822,1.0728,251.6779,2.9339,92.0277,0.5339,505.7127,0.2476,6.8486,12.9776,10.2876,-19.4097,13.3201,1.2121,1.018,17.1114,573.0907,33.0542,66.9458,-0.0602,-0.0151,-0.4349,-0.0226,-4.0572,0,-1,-1
176,002230,科大讯飞,0.38,0.12,2.2,16861.88,4.97,49.6554,3386.7189,2.4387,1.4509999999999998,186.0786,2.3272,116.0193,0.5526,488.5993,58.1631,-36.1407,25.9973,30.5581,-45.4545,28.0551,2.3908,2.0846,70.1702,-848.6996,69.1567,30.8433,-0.1912,-0.053,-3.7559,-0.1718,-23.0193,0,1,-1
177,002241,歌尔股份,0.14,0.44,11.39,138533.88,8.02,21.0456,17260.0428,5.3187,3.0152,89.5463,4.3180000000000005,62.5289,1.38,195.6522,36.9316,35.1737,37.5085,11.8037,-35.2941,38.4914,1.2378,0.8739,23.0479,556.1799,54.4625,45.5375,0.0784,0.0518,0.9878,0.1137,12.6924,1,1,1
178,002271,东方雨虹,0.12,0.98,15.93,86873.17,12.46,39.8494,6970.5479,7.9044,1.9069999999999998,141.5836,4.2327,63.7891,0.8698,310.4162,45.2767,23.4209,39.0436,56.8255,12.6437,35.1882,1.7552,1.5319,56.6208,1598.9235,46.9976,53.0024,-0.0962,-0.0491,-0.7554,-0.0927,-11.8024,0,0,-1
179,002294,信立泰,0.09,1.05,19.89,109404.55,35.26,80.5105,3102.0712,2.9656,3.8961,69.3001,1.4596,184.9822,0.8717,309.7396,9.6413,4.5927,13.3457,5.1839,6.0606,14.3005,5.8319,4.9825,102.4752,-12336.0359,89.1089,10.8911,0.3504,0.1668,1.0029,1.5316,182.8257,-1,-1,-1
180,002304,洋河股份,0.61,3.7,20.34,558166.21,33.06,62.2529,16878.326,11.2,1592.5784,0.1695,0.5302,509.2418,0.6672,404.6763,15.0763,15.5632,13.5507,11.9226,15.2648,13.5881,2.3447,1.2489,21.5155,-21811.3987,71.9245,28.0755,0.2541,0.1084,0.7696,0.3863,39.8033,0,0,-1
181,002310,东方园林,0.1,0.32,9.04,86648.6,10.03,29.9279,8635.4291,3.2207,1.5121,178.5596,0.6012,449.1018,0.4552,593.1459,72.2866,57.0551,44.8841,50.7794,52.381,48.9324,1.258,0.5665,14.4364,494.597,34.1076,65.8924,0.0838,0.0246,0.795,0.0373,4.4095,0,0,1
182,002311,海大集团,0.2,0.73,16.73,114935.29,4.33,10.9739,26502.3443,16.8165,21.6835,12.4519,10.671,25.3022,4.2528,63.4876,32.6909,29.0043,12.5868,27.1321,28.0702,12.7036,1.1914,0.7974,13.7235,3638.2267,51.4835,48.5165,-0.0065,-0.0136,-0.1472,-0.027999999999999997,-2.8699,0,-1,-1
183,002352,顺丰控股,0.17,0.86,15.25,364538.94,7.31,20.5109,49825.9393,11.2957,10.8526,24.8788,94.0864,2.8697,1.9409,139.1107,11032.4437,24358.5439,4352.1959,6074.2665,1333.3333,4346.4399,1.6372,1.6128,84.3542,2715.152,58.0793,41.9207,0.079,0.0727,1.0857,0.1734,21.4774,0,1,1
184,002415,海康威视,1.01,0.67,22.38,615281.42,22.18,44.1839,27729.7422,3.0046,2.0996,128.5959,3.3408,80.819,0.7393,365.2103,31.1938,26.2518,25.5607,21.4008,-17.1605,25.3256,3.0502,2.6191,104.3462,3207.46,61.3268,38.6732,0.0035,0.0022,0.0157,0.0056,0.7596,0,0,-1
185,002456,欧菲科技,0.19,0.38,11.98,102188.74,4.17,12.5949,24457.0834,9.0059,2.9585,91.2625,3.7488,72.023,1.4361,188.0092,28.6912,80.574,31.2706,44.8286,-31.414,31.5717,1.2083,0.7756,13.288,619.0941,28.6648,71.3352,-0.0424,-0.0331,-1.016,-0.0465,-6.5102,0,1,1
186,002466,天齐锂业,0.21,1.54,26.79,151842.14,38.34,69.7676,3960.0728,3.9825,17.0185,15.8651,2.5884,104.3115,0.8631,312.8259,42.9553,34.1356,52.4156,57.4331,25.9302,54.9834,1.5496,1.4159,83.1295,8043.0654,58.177,41.823,0.5484,0.1516,1.1629,0.3625,63.9475,1,1,1
187,002468,申通快递,0.05,0.74,18.77,112740.84,13.16,19.6116,8564.6301,5.5948,11.1427,24.2311,249.1585,1.0836,1.482,182.1862,687.8760000000001,47953.3297,745.9526,411.1082,4613.3758,779.452,3.7566,3.7388,224.165,-2662.3317,81.6419,18.3581,0.0791,0.0861,0.601,0.4691,47.7122,0,0,1
188,002475,立讯精密,0.37,0.34,9.31,108216.37,7.78,21.8717,13898.4993,4.3802,2.7503,98.1711,3.3623,80.3022,0.9277,291.0424,65.1365,58.0826,12.0314,20.4972,-5.5556,13.3497,1.455,1.0457,27.4707,1416.2693,53.678999999999995,46.321000000000005,0.0073,0.0042,0.0933,0.009000000000000001,0.9536,0,0,-1
189,002493,荣盛石化,0.14,0.41,10.38,155487.12,2.96,5.9174,52362.7963,13.7219,120.2863,2.2446,17.0836,15.8046,2.7234,99.1408,66.7205,25.7807,58.7257,31.337,-14.5833,15.579,0.8662,0.7499,28.0455,482.6926,39.3654,60.6346,0.0672,0.062,2.2095,0.1023,12.3789,-1,-1,-1
190,002555,三七互娱,0.06,0.57,22.35,121133.93,27.13,68.6873,4464.3977,2.0782,6.0198,44.852,14.752,18.3026,1.6852,160.2184,21.7267,64.137,57.3198,52.693000000000005,59.0028,56.7213,1.8231,1.7476,86.7353,4896.6720000000005,78.0596,21.9404,0.3172,0.1621,1.0333,0.7390000000000001,90.6497,0,0,1
