,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
180,002252,上海莱士,0.13,0.17,6.93,83582.86,43.35,63.6902,1927.7484,0.3878,2.9156,123.4737,0.7151,503.4261,0.2963,1214.9848,-17.1307,-49.5911,6.3922,9.2986,-47.6923,6.431,10.4519,8.7127,208.7531,2933.6715,86.3354,13.6646,0.1374,0.0183,0.3185,0.1341,39.9103,0,0,0
181,002294,信立泰,0.09,1.39,25.94,145188.73,34.95,81.1002,4153.7766,3.971,5.0967,70.6339,1.9595,183.7203,1.1277,319.2338,8.355,3.3698,12.792,5.0541,4.5113,12.9211,6.4847,5.6509,144.636,-8221.6066,89.71700000000001,10.283,0.3509,0.2124,1.0145,2.0652,254.3534,-1,0,0
182,002310,东方园林,0.1,0.81,21.29,217792.17,14.3,31.5559,15226.1017,5.6789,2.4179,148.8895,0.9824,366.4495,0.7371,488.4005,77.792,60.7861,20.4716,46.273999999999994,58.8235,23.1785,1.1276,0.5437,16.0941,756.1196,32.3804,67.6196,0.192,0.0833,1.3165,0.1231,13.73,-1,0,0
183,002311,海大集团,0.2,0.78,20.01,120722.52,3.7,10.9872,32556.6341,20.6677,48.7464,7.3852,10.6519,33.7968,5.337000000000001,67.4536,19.7582,40.5555,17.7135,27.9218,41.8182,14.6046,1.1462,0.583,23.1683,1942.1547,51.9505,48.0495,0.0152,0.0376,0.40299999999999997,0.0782,8.2255,-1,0,0
184,002352,顺丰控股,0.17,1.12,18.43,477068.97,6.71,20.0736,71094.297,16.1174,13.7194,26.2402,134.9121,2.6684,2.6918,133.7395,23.6795,14.2056,59.2312,30.6453,5.6604,59.3272,1.4616,1.4409,80.3837,4283.4204,56.7682,43.2318,0.0859,0.1059,1.2855,0.245,28.351999999999997,0,0,0
185,002415,海康威视,1.01,1.03,34.96,941085.51,22.45,43.9994,41905.4766,4.5406,3.23,111.4551,5.3545,67.2332,1.0324,348.7021,31.2663,26.3768,24.9828,24.7513,-16.0554,24.9888,2.5959,2.3087,96.1254,4051.1584,59.3437,40.6563,0.1759,0.14300000000000002,0.7863,0.3517,42.8635,-1,0,0
186,002450,康得新,0.17,0.7,14.77,247438.18,20.98,39.9238,11789.0735,3.3315,2.5604,140.60299999999998,11.9651,30.0875,0.5026,716.2754,27.6876,25.9941,15.5547,29.6582,16.6667,15.5977,2.1419,2.0923,157.6908,626.3962,52.6215,47.3785,0.3106,0.1069,1.479,0.2256,31.2052,1,0,0
187,002456,欧菲科技,0.19,0.38,11.79,100972.03,2.98,13.7636,33791.0314,12.4454,4.4275,81.31,4.7808,75.3012,2.0509,175.5327,26.3385,40.6081,14.2758,31.5952,-44.8636,13.2484,1.1017,0.6353,9.6982,382.0787,29.7954,70.2046,0.0097,0.0107,0.3267,0.0152,2.0,-1,0,0
188,002460,赣锋锂业,0.18,1.98,46.37,146907.81,33.51,40.471,4383.4461,5.9094,9.2156,39.0642,3.6012,99.9667,1.4509,248.1219,54.1231,215.5395,62.3433,110.0195,222.1933,62.2483,1.6230000000000002,1.2979,79.4932,3347.2487,50.5453,49.4547,0.1149,0.063,0.3431,0.1274,17.9036,-1,-1,-1
189,002466,天齐锂业,0.21,1.94,35.71,214503.88,39.21,70.1419,5470.0399,5.501,20.5192,17.5445,3.4461,104.4659,0.9288,387.5969,40.0935,46.181999999999995,83.5349,59.2001,25.974,97.5397,3.1091,2.9205,218.3675,6340.3225,59.6136,40.3864,0.5657,0.1735,1.1849,0.4295,122.3297,-1,0,0
