date,close,open,high,low,volume,MA5,EMA10,MA10,MA20,MA30,MA60,AR,BR,BIAS0,BIAS01,BIAS02,BIAS1,BIAS11,BIAS12,UL0,ML0,LL0,UL1,ML1,LL1,DMA,AMA,DPO,EMA20,EMA30,KValue,DValue,JValue,PSY,WVAD,WR,MR,SR,WS,MS,SS
2019-10-23,27.27,27.2,27.8,26.8,67251.81,27.044,28.644774488114063,28.644774488114063,32.65613361706942,35.150294311678906,38.02101259636084,81.73996175908185,108.65208996503681,3.465283925635502,-39.85885466441225,-37.49653809055399,-3.070293476737478,-37.663314012867794,-38.893175724860676,55.0798754961477,34.83550000000001,14.59112450385232,74.24098908906407,32.65613361706942,17.432369616472464,-13.228799999999993,-8.735019999999995,-7.253000000000004,32.65613361706942,35.150294311678906,7.165577819903147,6.497451707058055,5.16119948136787,41.66666666666667,-87.31990704152769,29.02,29.625,30.23,26.68,24.945,23.21
2019-10-24,27.36,27.2,27.49,26.86,62448.49,27.134000000000004,28.41117912663878,28.41117912663878,32.15173993925329,34.647694678667364,37.67147119975885,80.72815533980561,108.60276684990752,3.5122012737246897,-37.22130865425065,-37.85290415392913,-1.526538957203034,-33.40939627834635,-39.016542113804306,53.70540809331458,33.838499999999996,13.971591906685411,75.76587587284519,32.15173993925329,16.17097247978312,-12.992799999999988,-9.929019999999994,-4.981999999999999,32.15173993925329,34.647694678667364,7.750864574120959,6.915255996079022,5.244038839995149,50.0,-67.57416665125528,28.824999999999996,29.447499999999998,30.07,26.644999999999996,25.0875,23.53
2019-10-25,27.98,27.3,28.21,27.02,51324.59,27.336000000000002,28.332782921795364,28.332782921795364,31.754431373610117,34.217520828430764,37.353718045668394,89.06489524782725,108.54413907974183,5.824508320726169,-33.297574348888475,-36.92101036099081,1.555175349063293,-28.085582475755583,-37.81925891420901,52.0610597402261,32.87650000000001,13.691940259773911,77.23711375999481,31.754431373610117,14.997177606668881,-12.661799999999989,-10.906039999999994,-2.394000000000002,31.754431373610117,34.217520828430764,9.058351201507476,7.629621064555173,4.772160790650567,50.0,-21.011861008398224,29.345,29.7575,30.17,27.384999999999998,25.8375,24.29
2019-10-28,28.54,27.85,28.65,27.51,94135.04,27.704,28.370458754196207,28.370458754196207,31.448295052313917,33.851229162080394,37.06474368351533,94.6925906463456,108.66919756617612,7.833753148614613,-29.132782916382148,-36.149149382428334,4.510608748330917,-22.874636189715204,-36.759386587289576,50.2064143909533,31.927,13.6475856090467,78.72495328620388,31.448295052313917,13.963215093158517,-12.267400000000002,-11.654239999999993,0.12199999999999278,31.448295052313917,33.851229162080394,38.26112302322721,17.840121717445854,-23.001880894116866,50.0,74.20057184505885,30.369999999999997,30.709999999999997,31.049999999999997,27.97,25.91,23.85
2019-10-29,27.86,28.27,28.45,27.26,129594.67,27.802,28.27764807161508,28.27764807161508,31.106552666379258,33.46469824839779,36.76294880864597,93.55531686358555,108.71055707051036,4.559954963407768,-27.67862937244468,-38.12899046914037,1.9546292844406024,-21.20553306276649,-38.50281803578004,48.0114719699596,30.895,13.778528030040398,80.15890973393601,31.106552666379258,12.753242609296642,-11.897199999999991,-12.164839999999995,1.347999999999999,31.106552666379258,33.46469824839779,50.86095070235349,28.847064712415065,-15.180707267461784,50.0,37.653034168136806,29.145000000000003,29.9375,30.729999999999997,27.065000000000005,25.777500000000003,24.490000000000002
2019-10-30,27.13,27.8,27.85,26.81,88703.38,27.774,28.06898478586688,28.06898478586688,30.72783336481933,33.05600803882374,36.447114421477245,95.53571428571205,108.32707788678077,1.1495681352140557,-26.22036894348004,-40.18080258709393,-0.6587883269675957,-20.089440586314556,-40.316248323681144,45.34549870277775,29.875499999999995,14.405501297222237,81.3568692660154,30.72783336481933,11.580792377861776,-11.526800000000001,-12.447459999999996,0.5210000000000008,30.72783336481933,33.05600803882374,51.887098448033626,36.52707595762125,5.807030976796497,50.0,-24.00105947274474,27.659999999999993,29.079999999999995,30.499999999999996,25.809999999999995,25.38,24.950000000000003
2019-10-31,27.0,27.07,27.39,26.7,58123.64,27.701999999999998,27.874623915709265,27.874623915709265,30.372801615788916,32.6652978427706,36.13737296503537,95.69160997732367,108.0308740771336,-0.35674744741049585,-22.754148388327295,-40.827862041256125,-1.1865832153665028,-17.387471851584642,-40.81823022923518,42.47333445431591,28.896000000000004,15.3186655456841,82.43770374352894,30.372801615788916,10.511609172359918,-11.288600000000002,-12.533639999999997,0.3100000000000023,30.372801615788916,32.6652978427706,51.258065632022415,41.43740584908831,21.79608628322009,50.0,-19.960982745986236,27.345000000000002,28.9725,30.599999999999998,25.395000000000003,25.0725,24.75
2019-11-01,26.92,26.85,27.19,26.42,58339.01,27.49,27.70105593103485,27.70105593103485,30.043963366666162,32.29463346581766,35.835164015362075,93.2525951557064,107.97813362213459,-1.3015582034830446,-18.80356918436597,-41.37258282592716,-2.1503267021135404,-15.331500880384235,-41.28985819179745,39.240613465715825,27.9155,16.59038653428418,83.41961904371249,30.043963366666162,9.393568832567901,-11.044999999999998,-12.423119999999995,0.18599999999999994,30.043963366666162,32.29463346581766,50.030629613267486,44.30181377048136,32.84418208490909,50.0,-25.89789406092131,27.305,29.092499999999998,30.879999999999995,25.075000000000003,24.632500000000004,24.190000000000005
2019-11-04,26.75,26.94,27.0,26.35,78395.84,27.131999999999998,27.528136670846695,27.528136670846695,29.730252569840815,31.936915177700396,35.5372897853502,92.9115407147014,107.86580498982985,-2.8567969979421326,-14.921812880996544,-42.04206915229754,-3.7957373720098566,-13.855132283012143,-41.82986137640356,35.067317128892384,26.965000000000003,18.862682871107623,82.40045731841099,29.730252569840815,6.601950760128425,-10.786200000000001,-12.120259999999996,-0.12800000000000367,29.730252569840815,31.936915177700396,47.49516721692579,45.36626491929617,41.10846032403694,41.66666666666667,-86.13655113784452,27.074999999999996,29.012499999999996,30.949999999999996,24.775,24.4125,24.050000000000004
2019-11-05,26.9,26.94,26.97,26.6,42299.22,26.939999999999998,27.41393000342002,27.41393000342002,29.46070470604645,31.61195290817134,35.25409995632232,93.631353337414,107.7283011106541,-2.9931482149296853,-9.683556699588715,-41.97323362604373,-3.3105004439288344,-11.462924653064661,-41.56509566357222,28.24152279126357,26.990000000000002,25.738477208736434,77.87882904643261,29.46070470604645,7.687159215103037,-10.5532,-11.824779999999995,-0.20199999999999818,29.46070470604645,31.61195290817134,46.17957384354191,45.63736789404475,44.552955995050425,41.66666666666667,-64.84235654949936,27.335,28.9425,30.549999999999997,25.235000000000003,24.742500000000003,24.250000000000004
